"proper names","WGSN-id","Designation","HIP","Bayer ID","Constellation","Origin","Ethnic-Cultural_Group_or_Language","Reference","Additional info, e.g. language corruptions","Date of Adoption"
"Sadachbia","8503","HR 8518","110395","γ Aqr","Aqr","Applied in recent times from the Arabic lunar mansion name sa(d al-akhbiya, for γ, π, ζ and η Aqr. A possible meaning for the name is ""the Lucky (Stars) of the Tents"", but the exact historical connections are unknown.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","","2016/08/21"
"Sadalbari","8662","HR 8684","112748","μ Peg","Peg","Applied in recent times from the ind-A name sa'd al-bari', for λ and μ Peg. A possible meaning for the name is ""the Lucky (Stars) of the Excelling One,"" but the exact historical connections are unknown.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","","2016/08/21"
"Sadalmelik","8399","HR 8414","109074","α Aqr","Aqr","Applied in recent times from the Arabic name sa(d al-malik, for α and ο Aqr. A possible meaning for the name is ""the Lucky (Stars) of the King"", but the exact historical connections are unknown.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","","2016/08/21"
"Sadalsuud","8207","HR 8232","106278","β Aqr","Aqr","Applied in recent times from the Arabic lunar mansion name sa(d al-su(ud, for β and ξ Aqr, and 46 Cap. A possible meaning for the name is ""the Luckiest of the Lucky (Stars)"", but the exact historical connections are unknown.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","","2016/08/21"
"Sadr","7778","HR 7796","100453","γ Cyg","Cyg","""Breast"" in Arabic","Arabic","","","2016/08/21"
"Safina","8781","HR 8812","114341","88 Aqr","Aqr","an Indigenous Arabic constellation of the Ship was between Diphda and Fomalhaut (see al Qutayba); WGSN picked one of the possible stars in the area. considering the close vicinity of the Greek star name ""Hydor"" (The Water) north of it, it becomes a sunken treasure ship.","Arabic","see ASE","","2024/12/12"
"Sagarmatha","10061","HD 100777","56572","","Leo","Sagarmatha is the Nepali name for the highest peak in the world (also known as Mount Everest) and symbol of national pride of Nepal.","Nepali","2019 IAU100 NameExoWorlds","","2019/12/17"
"Saiph","2028","HR 2004","27366","κ Ori","Ori","From an abbreviation of the sci-A asterism name saif al-jabbar, the Giant's Sword,"" for η, c, θ, and ι Ori. Wrongly applied as a star name to κ Ori in recent times.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","","2016/07/20"
"Salm","8843","HR 8880","115250","τ Peg","Peg","Bayer (1603) mentions three names: Markab, Sagma and its corruption Salma. Allen (1899, 329) considers the correct form ""Salm"", a Leathern Bucket.","Arabic","Allen (1899, 329)","","2017/09/05"
"Sansuna","10110","HAT-P-34","","","Sge","Sansuna is the name of the mythological giant from traditional Maltese folk tales that carried the stones of the Gozo megalithic temples on her head.","Maltese","2019 IAU100 NameExoWorlds","","2019/12/17"
"Sargas","6606","HR 6553","86228","θ Sco","Sco","MUL.SHAR.GAZ, ""mul"" is the Sumerian designator for stars and constellations, ""Shargaz"" and ""Sharur"" are two weapons of Marduk (the city god of Babylon and highest god of the Babylonian pantheon after 1250 BCE). The line I ii 31-32 in MUL.APIN read: ""Two stars which stand in the sting of the Scorpion: Sharur and Shargaz"", so these star names have originally been given to the stars lambda and upsilon Sco. The Mesopotamian name ""Sargas"" was linked to the star Theta Sco by Robert Brown Jr. (1893; ""Euphratean Stellar Researches Part II."") and its subsequent mention in R. H. Allen's (1899) ""Star-names and Their Meanings"" popularized its subsequent use.","Sumerian","MUL.APIN I ii 31-32 (Hunger+Steele (2019)), Horowitz, W. (2018) ‘Communication and miscommunication in the southern sky’, in Registers and Modes of Communication in the Ancient Near East. 1st edn. Routledge, pp. 69–84.","","2016/08/21"
"Sarin","6437","HR 6410","84379","δ Her","Her","Name of unknown etymology from the ""Atlas Coeli Skalnaté Pleso"" of Czech astronomer Antonín Bečvář (1901-1965). It is probably a part of the body. The word probably is not of Semit's origin,","unknown","Bečvář, A. (1948) Atlas coeli Skalnaté Pleso. Praha: Přírodověcké Vydavatelství","","2016/09/12"
"Sceptrum","1513","HR 1481","21594","53 Eri","Eri","from the obsolete constellation of Sceptrum Brandenburgicum","Latin","Acta Eruditorum (1688) p.452","","2017/06/30"
"Scheat","8748","HR 8775","113881","β Peg","Peg","From the Arabic word al-saq, ""the shin,"" used in the Arabic Almagest in describing δ Aqr. Wrongly transferred as a star name to τ Peg in late medieval times.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","","2016/06/30"
"Schedar","206","HR 168","3179","α Cas","Cas","Applied with various spellings since medieval times, from the Arabic word al-sadr, ""the breast,"" used in the Arabic Almagest in describing this star.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","","2016/08/21"
"Secunda Hyadum","1406","HR 1373","20455","δ1 Tau","Tau","The Latin term Hyadum II goes back to Flamsteed (1729) in analogy to Hyadum I or Prima Hyadum","Latin","Allen (1899, 391)","","2017/09/05"
"Segin","589","HR 0542","8886","ε Cas","Cas","Name of unknown etymology from the ""Atlas Coeli Skalnaté Pleso"" of Czech astronomer Antonín Bečvář (1901-1965).","unknown","Bečvář, A. (1948) Atlas coeli Skalnaté Pleso. Praha: Přírodověcké Vydavatelství","","2017/09/05"
"Seginus","5421","HR 5435","71075","γ Boo","Boo","The formation of this name begins with the Greek constellation name βοώτης (Boötes), which was transliterated and then corrupted in the manuscripts of the Arabic Almagest. One of these corruptions, in turn, was transliterated into Latin as theguius, which became further corrupted into cheguius, ceginus, etc. One form, Ceginus, was applied as a star name by late medieval times, and ""Seginus"" is its recent spelling.","Latin","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","","2016/08/21"
"Sham","7477","HR 7479","96757","α Sge","Sge","Applied in recent times from the sci-A constellation name al-sahm, ""the Arrow,"" for Sagitta.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","","2016/09/12"
"Shama","10060","HD 99109","55664","","Leo","Shama is an Urdu literary term meaning a small lamp or flame, symbolic of the light of the star.","Urdu","2019 IAU100 NameExoWorlds","","2019/12/17"
"Shaomin","4111","HD 91316","51624","ρ Leo","Leo","Taimin太民 (or Damin大民) for o Leo and Shaomin少民 (ρ Leo) are the two southernmost stars of the Xuanyuan轩辕 constellation. They were used to star names in ancient China.","Chinese","see ASE","","2024/07/18"
"Sharjah","10088","HIP 79431","79431","","Sco","Sharjah is the cultural capital of United Arab Emirates, and considered the city of knowledge due to its many educational centers, institutes, museums, libraries and heritage centers.","Arabic","2019 IAU100 NameExoWorlds","","2019/12/17"
"Shaula","6580","HR 6527","85927","λ Sco","Sco","The Arabic lunar mansion ""Al Shaula"" (""the sting"") refers to the pair Lambda and Upsilon Sco (Al Sufi), the two stars that have been called ""the sting of the Scorpion"" even in MUL.APIN (I ii 31-32) but with different proper names there. ""Shaula"" appeared more in early modern literature for the pair of stinger stars after Hyde's (1665) translation of Ulugh Beg, and specifically for Lambda Sco after Piazzi's (1814) Palermo Catalog.","Sumerian","Horowitz, W. (2018) ‘Communication and miscommunication in the southern sky’, in Registers and Modes of Communication in the Ancient Near East. 1st edn. Routledge, pp. 69–84.","","2016/07/20"
"Sheliak","7118","HR 7106","92420","β Lyr","Lyr","Applied in recent times from the sci-A constellation name al-salbaq, ""the Harp,"" for Lyra. salbaq was a Greek loanword in Arabia, and was one of three names of musical instruments used by the sci-Arabs for Lyra. Still other names were alsulalfat, and al-lura.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","","2016/08/21"
"Sheratan","590","HR 553","8903","β Ari","Ari","Applied in recent times from the Arabic lunar mansion name al-shara-tan, for β and γ Ari. The name means ""two"" of something, but the complete meaning is uncertain. Some Arabic authors suggested that it meant ""the Two Signs"", implying these stars as some kind of celestial indicator; others assumed it meant ""the Two Horns"", referring to the Arabic figure of al-hamals here.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","","2016/07/20"
"Shimu","244","HR 215","3693","ζ And","And","""Tian Shi Mu"", The Eye of the Celestial Pig, is the oldest preserved name for this star in China. Later, this region was named Kui, the Legs, and zeta And was (in historical times before Qing Dynasty) used as the determinative star of this constellation and lunar mansion.","Chinese","see ASE","","2025/03/16"
"Sika","10107","HD 181720","95262","","Sgr","Sika means gold in the Ewe language and gold is one of Ghana's principal exports.","Ewe","2019 IAU100 NameExoWorlds","","2019/12/17"
"Sirius","2486","HR 2491","32349","α CMa","CMa","From its ancient Greek name Σείριος, ""the Scorching one"", or ""Brilliant One"", appropriate for this brightest of the fixed stars. Reapplied in Renaissance times.","Greek","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","","2016/06/30"
"Situla","8593","HR 8610","111710","κ Aqr","Aqr","A Latin word meaning ""pot"" or ""bucket"", used in Renaissance philological studies as the translation of the Arabic constellation name al-dalw, for Aquarius. Subsequently the word was applied as a star name to k Aqr. The Arabs located al-dalw (""the Well Bucket"") in today's Square of Pegasus. In that location it corresponded to what in other cultures was Aquarius among the zodiacal signs. The Arabs subsequently used the indigenous name al-dalw for the Greek Water Pourer (Aquarius).","Latin","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","","2016/09/12"
"Skat","8689","HR 8709","113136","δ Aqr","Aqr","Applied with various spellings since medieval times, from the Arabic word al-saq, ""the shin"", used in the Arabic Almagest in describing this star.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","","2016/08/21"
"Solaris","10117","BD+14-4559","104780","","Peg","Solaris is the title of a 1961 science fiction novel about an ocean-covered exoplanet by Polish writer Stanislaw Lem.","fictional","2019 IAU100 NameExoWorlds","","2019/12/17"
"Solitaire","5527","HR 5526","72571","E Hya","Hya","extinct constellations invented by Le Monnier (1776), Latinized ""Turdus Solitarius"", was originally meant to remember the extinct bird ""Rodrigues Solitaire"", but always depicted as a Blue Rock Thrush.","French","see ASE","","2024/10/31"
"Spica","5061","HR 5056","65474","α Vir","Vir","Its ancient Roman name meaning ""the Ear of Grain"", after the star's Greek name στάχυς of identical meaning (in turn having obvious origins among the Babylonians and Sumerians). Reapplied in Renaissance times.","Latin","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","","2016/06/30"
"Stellio","8558","HR 8585","111169","α Lac","Lac","Hevelius, who invented the constellation Lacerta sive Stellio (modern Lacerta), gave it the alternative name Stellio in his star catalogue and atlas.","Latin","see ASE","","2024/08/29"
"Sterrennacht","10129","HAT-P-6","","","And","The Sterrennacht (Starry Night) is a world-famous painting by Dutch grand master Van Gogh that was painted in France in 1889 and now belongs to the permanent collection of New York's Museum of Modern Art.","Dutch","2019 IAU100 NameExoWorlds","","2019/12/17"
"Stribor","10042","HD 75898","43674","","Lyn","Stribor is God of winds in Slavic mythology, as well as a literature character in the book Priče iz davnine (Croatian Tales of Long Ago) by the Croatian author Ivana Brlić-Mažuranić.","Slavic languages","2019 IAU100 NameExoWorlds","","2019/12/17"
"Sualocin","7889","HR 7906","101958","α Del","Del","reversed Latin  Nicolaus Venator, responsible for 1814 star catalogue)","Latin","Palermo Star Catalogue (1814), p.147","","2016/09/12"
"Subra","3823","HR 3852","47508","ο Leo","Leo","From the ind-A lunar mansion name al-zubra, ""the Mane, or Shoulder,"" for δ and θ Leo, associated with the ind-A asterism al-asad (see ε Gem; al-zubra was an alternative name for al-kharatan given under θ Leo). ""Subra"" was wrongly applied as a star name too Leo in recent times.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","","2016/09/12"
"Suhail","3595","HR 3634","44816","λ Vel","Vel","Applied in recent times and representing an abbreviation of any of several composite ind-A names (for example suhail al-wazn, suhail al-muhlif) that sci-A authors variously attributed to brighter stars in the region of suhail. A Vel was among these brighter stars. Some of the composite names may have been authentic ind-A names for far-southern stars, with their true identities unknown to the more northern sci-Arabs, while others of them were surely the creations of ind-A poets.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","","2016/08/21"
"Sulafat","7197","HR 7178","93194","γ Lyr","Lyr","Applied in recent times from the sci-A constellation name al-sulabfat, ""the Tortoise,"" for Lyra, corresponding to the Greek image of a tortoise shell for the Lyre's soundboard.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","","2016/08/21"
"Syrma","5332","HR 5338","69701","ι Vir","Vir","From the Greek word σύρμα, ""train of a dress"", used by Ptolemy in the Almagest in describing this star. The word was applied as a star name in recent times.","Greek","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","","2016/09/12"
"Sāmaya","10114","HD 205739","106824","","PsA","Sāmaya means peace in the Sinhalese language.","Sinhalese","2019 IAU100 NameExoWorlds","","2019/12/17"
"Tabit","1572","HR 1543","22449","π3 Ori","Ori","Arabic الثابت al-thābit 'the endurer (the fixed/constant one)'","Arabic","--","","2017/09/05"
"Taika","10119","HAT-P-40","","","Lac","Taika means peace in the Lithuanian language.","Lithuanian","2019 IAU100 NameExoWorlds","","2019/12/17"
"Taiyangshou","4521","HR 4518","57399","χ UMa","UMa","traditional Chinese single star asterism: Taiyangshou means ""The Guardian of the Great Yang"" and is the general in charge of the yang valve, symbolising Chief Minister. Xu, Pankenier and Jiang (2000) and Sun Shuwei (Stellarium) evaluating the medieval Song map, both identify chi UMa but Sun and Kistemaker (1997) studying the Han dynasty identify psi UMa.","Chinese","Rufus+Tien (1945) on the Suzhou Map, Sun and Kistemaker (1997) evaluating Han sources, Sun Shuwei (2022) on the Su Song Map","","2017/06/30"
"Taiyi","4916","HR 4916","63076","8 Dra","Dra","single star asterism: August Unity, Supreme One","Chinese","Rufus+Tien (1945) on the Suzhou Map, Sun and Kistemaker (1997) evaluating Han sources, Sun Shuwei (2022) on the Su Song Map","","2017/06/30"
"Talitha","3552","HR 3569","44127","ι UMa","UMa","Applied in recent times from an abbreviation of the ind-A name alqafza al-thalitha, ""the Third Leap,"" for ι and κ UMa. This pair, with the pairs λ/μ and v/ξ UMa, composed the ind-A asterism qafazat al-ziba', ""the Leaps of the Gazelles,"" imagined as the tracks left by those animals. In some later tradition, qafazat al-ziba' and adjacent asterisms were associated in a fable, where several gazelles leaped away from the Lion into a pond, leaving their tracks behind.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","","2016/07/20"
"Tangra","10125","WASP-21","","","Peg","Tangra is the supreme celestial god that early Bulgars worshiped.","Bulgarian","2019 IAU100 NameExoWorlds","","2019/12/17"
"Tania Australis","4042","HR 4069","50801","μ UMa","UMa","Applied in recent times from their ind-A name al-qafza al-thaniya, ""the Second Leap"", and the Latin distinctions of ""northern"" and ""southern,"" respectively.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","","2016/07/20"
"Tania Borealis","4009","HR 4033","50372","λ UMa","UMa","Applied in recent times from their ind-A name al-qafza al-thaniya, ""the Second Leap"", and the Latin distinctions of ""northern"" and ""southern,"" respectively.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","","2016/07/20"
"Tapecue","10034","HD 63765","38041","","Car","Tapecue means eternal path in Guarani and represents the Milky Way through which the first inhabitants of the Earth arrived and could return.","Guarani","2019 IAU100 NameExoWorlds","","2019/12/17"
"Tarazed","7523","HR 7525","97278","γ Aql","Aql","Applied in recent times (with a misreading) from abbreviating the Persian asterism name shanin-i tarazu, ""the Scale Beam"", for α, β and γ Aql. The Persian name, in turn, was a medieval translation of these stars' Arabic name al-mizan, ""the Balance"".","Persian","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","","2016/08/21"
"Tarf","3228","HR 3249","40526","β Cnc","Cnc","Arabic: الطرف, Al-Ṭarf (The eyes of the lion) is one of the traditional ""Lunar Stations"". It is composed of the 2 stars: ε Leo and ο Leo. However, the name has been in common use for β Cnc as it was published in the Yale Bright Star Catalogue.","Arabic","Hoffleit, D.; Warren, W. H. (1995). ""VizieR Online Data Catalog: Bright Star Catalogue, 5th Revised Ed. (Hoffleit+, 1991)"". VizieR On-line Data Catalog: V/50. Originally Published in: 1964BS....C......0H. 5050. Bibcode:1995yCat.5050....0H.","","2018/06/01"
"Taygeta","1186","HR 1145","17531","19 Tau","Tau","These names were individually applied in Renaissance times from a family of characters in Greek mythology: Atlas, Pleione and their seven daughters, the Pleiades.","Greek","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","","2016/08/21"
"Tegmine","3110","HR 3208","40167","ζ Cnc","Cnc","A Latin word in the ablative case meaning ""covering"" or ""shell"", used in a Renaissance discussion of the constellation Cancer. The word was subsequently applied as a star name to ζ Cnc.","Latin","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","The name should be ""Tegmen"", in the nominative case.","2016/09/12"
"Tejat","2292","HR 2286","30343","μ Gem","Gem","From the Arabic word tihyat, said to be the singular form of al-tahayi, an ind-A name of unknown meaning and disputed identification. In some sources, the plural al-tahayi is assigned to η, μ, and v Gem. As originally applied in recent times, η was ""Tejat Prior,"" and μ was Tejat Posterior.""","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","","2017/02/01"
"Tengshe","8704","HR 8726","113288","","Lac","Tengshe螣蛇 or 腾蛇 (Téng Shé, Flying Serpent) is a constellation created by ancient Chinese astrologers, dating back to the 2nd century BCE.","Chinese","see ASE","","2024/09/19"
"Terebellum","7595","HR 7597","98066","ω Sgr","Sgr","Ptolemy's Almagest lists four stars in a quadrilateral with ω Sgr the first in the list (the others being A, b, c Sgr). Bayer (1603) concludes this list with the note after ""c"": Has quatuor multi Terebellum seu τετράπλευρον vocant. A ""terebellum"" is an auger, so it designates the asterism at the tip of the tail and originally not a specific star.","Latin","Bayer (1603)","","2017/09/05"
"Tevel","10036","HAT-P-9","","","Aur","Tevel means Universe or everything and begins with the letter Taf, the last letter in the Hebrew alphabet.","Hebrew","2019 IAU100 NameExoWorlds","","2019/12/17"
"Theemin","1495","HR 1464","21393","υ2 Eri","Eri","The formation of this name begins with one of the words used by Ptolemy to describe this star in the Almagest: καμπή, ""the bend [of the river]"". This was misread by the sci-Arabs, who transliterated the word as bhmn. This, in turn, was transliterated as beemun in the Medieval Latin Almagest, which was corrupted to beemin, beemim, etc. Then in Renaissance times, the derivation of the form beemim was erroneously attributed to the Hebrew word te'omim, ""twins."" Subsequently this erroneous word, written as Theemim, then ""Theemin,"" was applied as a star name to any of the various dim stars running from u1 to h Eri.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","","2017/02/01"
"Thuban","5278","HR 5291","68756","α Dra","Dra","The formation of this name begins with the sci-A name for γ Dra: ra's al-tinnin, ""the Serpent's Head."" In medieval times this was transliterated into Latin as raztaben, rahtaben, razcaben, and several other corruptions (eventually leading to the name for β Dra). By Renaissance times the form Rastaben had appeared, and this name was erroneously attributed, in its last part, to the Arabic word thu'ban, ""serpent"", rather than to al-tinnin (subsequently thu<ban was wrongly regarded as a sci-A name for the constellation Draco). Finally in recent times, the erroneous word, written as ""Thuban,"" was applied as a star name to α Dra.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","","2016/06/30"
"Tiaki","8621","HR 8636","112122","β Gru","Gru","Makemson (1941: 261 #659) lists Tiaki as the Tuamotuan name for β Gru, sourcing this to unpublished field data supplied by Kenneth P. Emory (ibid.: 197). However, Emory's star information does not appear in his later publications and has not been located to date in archives of his unpublished material. Stimson's Tuamotuan dictionary (1964: 526) gives the meaning of Tīaki as ""guardian"", ""keeper"" or ""watchman"", but does not list it as a star. He does, however, list Tīakitau as the name of an unidentified star on Anaa, which Makemson (1941: 261 #660) lists separately.","Polynesian/Tuamotu","Makemson, Maud W. (1941). The Morning Star Rises: an Account of Polynesian Astronomy. New Haven: Yale University Press. Stimson, J. Frank, with the collaboration of Donald S. Marshall (1964). A Dictionary of Some Tuamotuan Dialects of the Polynesian Language. Published by the Peabody Museum of Salem Massachusetts and Het Koninklijk Instituut voor Taal-, Land- en Volkenkunde. The Hague: Martinus Nijhoff.","","2017/09/05"
"Tianfu","7663","HR 7669","98823","τ Aql","Aql","Tianfu (天桴) was an ancient Chinese constellation consisting of four stars. Their counting order has changed over time but we decided to take the name for the 1st star of the early (before Tang dynasty) version.","Chinese","see ASE","","2024/05/16"
"Tianguan","1949","HR 1910","26451","ζ Tau","Tau","Chinese single star asterism, a celestial pass along the ecliptic which opens and closes","Chinese","Rufus+Tien (1945) on the Suzhou Map, Sun and Kistemaker (1997) evaluating Han sources, Sun Shuwei (2022) on the Su Song Map","","2017/06/30"
"Tianyi","4867","HR 4863","62423","7 Dra","Dra","Chinese single star asterism: heavenly unity","Chinese","Rufus+Tien (1945) on the Suzhou Map, Sun and Kistemaker (1997) evaluating Han sources, Sun Shuwei (2022) on the Su Song Map","","2017/06/30"
"Timir","10089","HD 148427","80687","","Oph","Timir means darkness in Bengali language, alluding to the star being far away in the darkness of space.","Bengali","2019 IAU100 NameExoWorlds","","2019/12/17"
"Tislit","10044","WASP-161","","","Pup","Tislit is the name of a lake in the Atlas mountains of Morocco. It means the bride in the Amazigh language and it is associated with a heartbroken beautiful girl in an ancient local legend.","Amazigh","2019 IAU100 NameExoWorlds","","2019/12/17"
"Titawin","495","HR 458","7513","υ And","And","Titawin (also known as Medina of Tetouan) is a settlement in northern Morocco and UNESCO World Heritage Site. Historically it was an important point of contact between two civilizations (Spanish and Arab) and two continents (Europe and Africa) after the 8th century.","Amazigh","2015 NameExoWorlds","","2015/12/15"
"Tojil","10018","WASP-22","","","Eri","Tojil is the name of one of the Mayan deities related to rain, storms, and fire.","Mayan","2019 IAU100 NameExoWorlds","","2019/12/17"
"Toliman","5459","HR 5460","71681","α Cen","Cen","Applied in recent times from some ind-A name al-zulman, ""the Ostriches."" Stars in today's Centaurus were variously identified with one or more ostriches by the ind-Arabs, but what star or stars were originally designated is unknown.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","","2018/08/10"
"Tonatiuh","4591","HR 4609","58952","","Cam","Tonatiuh was the Aztec god of the Sun.","Aztec","2015 NameExoWorlds","","2016/07/20"
"Torcular","545","HR 510","8198","ο Psc","Psc","The traditional name Torcularis septentrionalis (northern wine press) was taken from the 1515 Almagest (Latin translation) and abbreviated.","Latin","--","","2017/09/05"
"Tuiren","10069","HAT-P-36","","","CVn","Tuiren was the aunt of the hunterwarrior Fionn mac Cumhaill of Irish legend, who was turned into a hound by the jealous fairy Uchtdealbh.","Old Irish","2019 IAU100 NameExoWorlds","","2019/12/17"
"Tupi","10017","HD 23079","17096","","Ret","Tupi is the name of the most populous Indigenous People living on the eastern coast of South America, before the Portuguese arrived in the 16th century.","Tupi languages","2019 IAU100 NameExoWorlds","","2019/12/17"
"Tupã","10067","HD 108147","60644","","Cru","Tupã is one of four principle gods of the Guarani Cosmogony in popular Paraguayan folklore that helped the supreme god Ñamandu to create the Universe.","Guarani","2019 IAU100 NameExoWorlds","","2019/12/17"
"Tureis","3159","HR 3185","39757","ρ Pup","Pup","From the Arabic word al-turais, ""the Little Shield,"" used in the Arabic Almagest in describing several stars (ρ Pup not among them) in the constellation Argo. Wrongly applied as a star name to ρ Pup in recent times.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","","2016/09/12"
"Tusizuo","6924","HR 6895","90139","109 Her","Her","Tú Sì (屠肆, ""Butcher's Shop"") is a Chinese asterism consisting of two stars, established by the Wuxian (巫咸) school during the Han dynasty. As ""Tusi"" could be confused with other celestial bodies named Tusi after two Persian astronomers (asteroid (10269) Tusi and asteroid (7058) Al-Tusi), WGSN chose to add a determinative here. The chosen star 95 Her is ""the left one in Tusi"", in Chinese ""Tusizuo"", so WGSN adopts this name.","Chinese","see ASE","","2025/06/17"
"Udkadua","8925","HR 8961","116584","λ And","And","The Sumerian term UD.KA.DU8.A is a compound, literally meaning ""the storm demon with the gaping mouth"". This Babylonian constellation is at least 3000 years old; the star named after it is its heel. It was highly important, as it was used for time-measurement for at least a millennium (if not longer).","Sumerian","see ASE","","2025/05/08"
"Ukdah","3818","HR 3845","47431","ι Hya","Hya","Kazwini knew the stars tau1, tau2 Hya as عقدة ʽuqdah (or ʽuḳdah), Arabic ""knot"". Rhoads (1971) considers this asterism consisting of four stars: tau1, tau2, 33 and ι Hya.","Arabic","Rhoads (1971)","","2018/06/01"
